0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
-10.084045133409328,0.4419750045184006,-2.4878118693534033,-2.0907196088562157,0.3920884237993931,Suzuki,Dzire,Other,Sedan,Petrol,Automatic Transmission,1000 - 1499 cc,0 - 99 HP,Silver,Beige,No,Dubai,Dealer,39000
-10.145058792720398,1.0388448080917354,-23.01262397835875,,3.5303596032179936,Hyundai,Santa Fe,Standard,SUV,Petrol,Automatic Transmission,2500 - 2999 cc,300 - 399 HP,Brown,Tan,No,Dubai,Dealer,145000
-9.778563802027618,0.3972954756245722,-11.327216548444138,-2.089991358432119,-7.886855667177864,Honda,Civic,LX,Sedan,Diesel,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Black,Beige,Yes,Abu Dhabi,Owner,87500
,0.24660476258364453,46.53173863185681,-2.0350431588944167,7.289304693545176,Jeep,Grand Cherokee,Other,SUV,Petrol,Automatic Transmission,4000+ cc,,White,Black,No,Abu Dhabi,Dealer,45000
-9.481891141244155,0.34279482211526524,31.49676111500453,,-15.314288955027227,Honda,Accord,V6 Sport,Coupe,Petrol,Automatic Transmission,3000 - 3499 cc,Unknown,Silver,Other Color,Does not apply,Dubai,Owner,29500
-7.775976652304745,0.36614155766115897,-5.406828318655404,-2.0841436408864356,-28.39712671810524,Rolls-Royce,Wraith,Black Badge,Coupe,Petrol,Automatic Transmission,,600 - 699 HP,Black,Unknown,Yes,Dubai,Dealer,2490
-10.01570654592223,0.41545130979918377,23.572540020033824,-2.071757047868121,-3.026525291405769,Honda,Civic,EX,Sedan,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Burgundy,Beige,No,Dubai,Owner,40000
-9.439635951200385,0.4893515261529715,9.868003066119364,-2.043082586627078,-5.222871322592914,Porsche,Cayenne,GTS,SUV,Petrol,Automatic Transmission,3000 - 3499 cc,300 - 399 HP,White,Unknown,Yes,Dubai,Dealership/Certified Pre-Owned,149900
-9.769658879415019,0.37578501794603447,41.23072860486234,-2.0169790570597392,0.6688643501970093,Toyota,Corolla,XLI,Sedan,Petrol,Automatic Transmission,Unknown,Unknown,White,Brown,No,Abu Dhabi,Owner,19500
-9.762735730562293,0.3249446772257738,10.969377127824485,-2.0535000902697043,14.202486065426255,Hyundai,Tucson,GL,SUV,Petrol,Automatic Transmission,,200 - 299 HP,Brown,Beige,Yes,Sharjah,Dealer,42000
